BOOK_NUM,BOOK_NM,WRITER,BOOK_TYPE,BOOK_INTRO,BOOK_PRICE,ETC
KA121282,"길고 짧은 건 대 봐야 아는 법 : 고대 그리스부터 현재 대한민국까지, 재판으로 보는 세계사",권재원,교육교재,서유재,,
KA94522,생각의 시대  : 역사상 가장 혁신적인 지혜와 만나다,김용규 지음,인문서적,살림,,
KA128065,"어른을 위한 친절한 지식 교과서 . Ⅰ , 사회·과학·수학·국어",김정화,교육교재,Soulhouse,,
KA82182,사물의 민낯  : 1498~2012,"김지룡, 갈릴레오SNC 지음",인문서적,애플북스,,
KA94223,"펭귄은 왜 바다로 갔을까?  : 청소년, 인문학에 질문을 던지다",강유정,소설,꿈결,,
KA69230,지식의 단련법 : 다치바나 식 지적 생산의 기술,다치바나 다카시 지음,교육교재,청어람미디어,,
KA108154,(데미안과 함께 하는) 청소년 인문학,도홍찬,인문서적,글모아출판,,
KA123485,(14살에 시작하는) 처음 동양 고전,명로진,인문서적,북멘토,,
KA108892,"칸트, 근세 철학을 완성하다",강성률,인문서적,글라이더,,
KA93835,10대에게 권하는 인문학  : 연세대 인문학연구원 인문학자 5명이 풀어 쓴 최초의 청소년 인문서,연세대학교 인문학연구원,인문서적,글담출판,,
KA102293,EBS 지식탐험 링크  :흩어진 지식을 모아 사고의 폭을 넓히다,EBS .융합형 지식탐험 링크 제작팀,교육교재,예담,,
KA97086,통섭과 지적 사기 : 통섭은 과학과 인문학을 어떻게 배신했는가,이인식 외 지음,인문서적,인물과사상사,,
KA114556,"(조중걸 교수와 함께)열정적 고전읽기 , 역사 1",조중걸,고전,웅진씽크빅,,
KA114557,"(조중걸 교수와 함께)열정적 고전읽기 . 2 , 역사",조중걸,고전,프로네시스,,
KA115774,(최재천 교수와 함께 떠나는) 생각의 탐험,최재천,인문서적,움직이는서재,,
KA89069,통섭적 인생의 권유  : 최재천 교수가 제안하는 희망 어젠다,최재천 지음,인문서적,명진출판,,
KA94221,"질문하는 십대, 대답하는 인문학","정창우, 박영하",인문서적,풀빛,,
KA140411,AI는 인문학을 먹고 산다 : 인문학으로 인공지능 시대를 주도하라,한지우,인문서적,미디어숲,,
KA129601,지성사란 무엇인가? : 역사가가 텍스트를 읽는 방법,"왓모어, 리처드",소설,오월의봄,,
KA116188,초짜들을 위한 짧고 쉬운 지식의 역사 : 우주의 탄생부터 포스트모더니즘까지 세계사를 바꾼 150가지 아이디어,"스미스, 대니얼",교육교재,지식서재,,
KA131596,공부의 고전 : 스스로 배우는 방법을 익히기 위하여,"세네카, 루키우스 안나이우스",교육교재,유유,,
KA128247,"길담서원, 작은 공간의 가능성",이재성,수필,궁리,,
KA109164,지적 생활 습관  :죽는 순간까지 지적으로 살고 싶다,도야마 시게히코,수필,한빛비즈,,
KA95353,"인문학 명강, 서양고전",강대진 [외]지음,인문서적,21세기북스,,
KA100290,행복한 삶을 위한 인문학,강수돌,인문서적,이상북스,,
KA107898,성난 얼굴로 돌아보라,강신주,수필,메디치,,
KA132806,"한 공기의 사랑, 아낌의 인문학",강신주,인문서적,한국교육방송공사(EBS Books),,
KA103375,융합 인문학  :인문 예술과 자연과학의 융합적 만남,강운구,인문서적,이학사,,
KA136561,고전의 고전 : 서양 고전학자들이 들려주는 문사철 탄생의 순간 10,강대진,인문서적,아카넷,,
